feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
MSM9VZOU	0	0	0.0001998	0	0.399854	0	0	0	0	0.0001101	6.24e-05	0	0	0	0	0	0.120675	0.298736	0.0854093	0.0017233	0
MSM9VZOW	0	0	0	0	0.57769	0	0	0	0	0	0	0	0	0	0	0	0.0433045	0.186993	0.0740577	0.0030357	0
MSM9VZOY	0	0	4.27e-05	0	0.243205	0	0	0	0	0	0	0	0	0	0.0425442	0	0.0861755	0.307033	0.244067	0.0023777	0
MSM9VZP1	0	6e-06	6.7e-05	0	0.42407	0	0	0	0	0.0001046	0.0001934	0	0	1.09e-05	5.29e-05	0	0.330627	0.171701	0.028637	0.0016874	0
MSM9VZP3	0	0	0	0	0.558003	0	0	0	0	0	0.0001327	0	0	0	0	0	0.224412	0.111292	0.0100036	0.0038269	0
MSM9VZPH	0	0.0238038	0.0109097	0	0.0577508	8.23e-05	0.0119809	0	0	0.342763	0.0023198	0	0	0.0594769	0.0651761	0.0001738	0.0030558	0.109169	0.0601625	0	0
MSM9VZPL	0	0.0341253	0.0098049	0	0.0431433	2.3e-05	0.0222257	0	0	0.122775	0.0029292	0	0	0.0553427	0.0600632	0.0031343	0.0063909	0.466414	0.0984783	3.89e-05	0
MSM9VZPN	0	0.0140773	0.0131747	0	0.0809472	0	0.0183732	0	0	0.192445	0.002837	0	0	0.0832401	0.0847284	0.0005578	0.0074854	0.340597	0.0702138	0	0
MSM9VZPT	0.0318617	0.005139	0.0041447	0	0.004271	0	0.0362637	0	0.0010947	0.0036855	0.0121427	0	0	0.0606094	0.0372309	0.030388	0	0.0238364	0.144592	0.0030479	0.0027946
MSMA267V	0.0105178	0.0006825	0.0064424	0	0	0.0393531	0.0106055	0.0279083	0.0038575	0.0117286	0.0167394	0.0069392	0	0.0264397	0.006637	0.297622	0.0209336	0.165308	0.0599035	0	0.0015752
MSMA267X	0.0125689	0.0060299	0.0263486	0	0	0.0528398	0.0213172	0.0474825	0.0100898	0.0092729	0.016821	0.008388	0	0.027692	0.0019529	0.364322	0.0026791	0.0672367	0.0564441	0	0.0010599
MSMA2684	0.0024829	0.0011056	0.0138864	0	0	0.0543992	0.0019751	0.0504682	0.0030719	0.0557502	0.0240366	0.0132929	0	0.0061398	0.0012909	0.274205	0.000235	0.250267	0.0260637	9.43e-05	0
MSMA2688	0.0630727	0	0.0113328	0.0095007	0	0.0101072	0.0182476	0.0033128	0.0041945	0.0118239	0.0036954	0.0198568	0	0.0009079	0.0222563	0.0029148	0.0002513	0.0343706	0.0128777	0.591494	0
MSMA26AL	0.0354936	0.0016517	0.0169228	0	0	0	0.0559358	0.0803811	0.0033424	0.0170372	0.0365772	0.0212905	0	0	0.0001176	0.0422089	0.0123686	0.0127106	0.0431717	0.0013962	0.0289634
